Customer Ref Number,Email,First Name,Surname,Birth Date,Rewards Program ID
0032700000WPwRCAA1,<KHILDRETH.10000.0000@gmail.marketingclouddemo.com>,Kenneth,Hildreth,1991-10-19,358943527
0032700000ij2A5AAI,<JREITER.10000.0001@gmail.marketingclouddemo.com>,Johnie,Reiter,1961-05-13,
0032700000igJw1AAE,<DMUSGROVE.10000.0002@yahoo.marketingclouddemo.com>,Deidra,Musgrove,1986-10-28,
0032700000wgVgQAAU,<SGLADDEN.10000.0003@hotmail.marketingclouddemo.com>,Sheina,Gladden,1968-07-06,
00327000002NPGKAA4,<BCULPEPPER.10000.0004@hotmail.marketingclouddemo.com>,Bernard,Culpepper,1948-12-21,
0032700000Pk68JAAR,<BBOYKIN.10000.0005@hotmail.marketingclouddemo.com>,Brock,Boykin,,
00327000000TKQJAA4,<EMCFARLAND.10000.0006@yahoo.marketingclouddemo.com>,Evelyn,Mcfarland,1983-06-13,
0032700000fg7kuAAA,<DMCKEOWN.10000.0007@hotmail.marketingclouddemo.com>,D,Mckeown,,372431659
0032700000ByL8lAAF,<JWENTZ.10000.0008@yahoo.marketingclouddemo.com>,Jolene,Wentz,,
0032700000ojInSAAU,<AWOODBURY.10000.0009@hotmail.marketingclouddemo.com>,Allen,Woodbury,,
0032700000HMIEsAAP,<HPICKENS.10000.0010@yahoo.marketingclouddemo.com>,Helen,Pickens,1977-05-16,
0032700000HnLFWAA3,<LROHR.10000.0011@hotmail.marketingclouddemo.com>,Lupe,Rohr,1950-04-20,
0032700000lxkkGAAQ,<OCARRINGTON.10000.0012@gmail.marketingclouddemo.com>,Oralia,Carrington,1980-03-10,
0032700000QeEVYAA3,<DWASSON.10000.0013@hotmail.marketingclouddemo.com>,Diego,Wasson,,764667901
0032700000bs6RhAAI,<POTT.10000.0014@gmail.marketingclouddemo.com>,Porfirio,Ott,,
00327000000agKxAAI,<TBUCKLEY.10000.0015@hotmail.marketingclouddemo.com>,Tennie,Buckley,,
0032700000XvHRZAA3,<RFULMER.10000.0016@gmail.marketingclouddemo.com>,Rachel,Fulmer,1990-04-19,
0032700000MDtpKAAT,<KBOLT.10000.0017@hotmail.marketingclouddemo.com>,Kenton,Bolt,1989-05-20,
0032700000QCNr3AAH,<LMURRY.10000.0018@gmail.marketingclouddemo.com>,Leif,Murry,1950-12-01,496133338
0032700000chUS4AAM,<ESCHAEFER.10000.0019@gmail.marketingclouddemo.com>,Elias,Schaefer,1951-08-06,
0032700000TEBDiAAP,<ADARBY.10000.0020@yahoo.marketingclouddemo.com>,Adriane,Darby,1978-09-02,
00327000004kvPJAAY,<GNELSON.10000.0021@aol.marketingclouddemo.com>,Genaro,Nelson,1991-12-22,
0032700000fLqhKAAS,<RHUMES.10000.0022@yahoo.marketingclouddemo.com>,Rudy,Humes,1995-02-27,636352724
003270000067svhAAA,<AHAZEL.10000.0023@gmail.marketingclouddemo.com>,Anastasia,Hazel,1955-04-28,534858919
0032700000DneKRAAZ,<NBILLIOT.10000.0024@hotmail.marketingclouddemo.com>,Nellie,Billiot,1957-09-16,162909785
0032700000mwbVRAAY,<DWILSON.10000.0025@gmail.marketingclouddemo.com>,Dwayne,Wilson,1953-01-14,
0032700000w1ozXAAQ,<SVARGAS.10000.0026@gmail.marketingclouddemo.com>,Stephany,Vargas,1938-02-20,
003270000031lZtAAI,<BTACKETT.10000.0027@yahoo.marketingclouddemo.com>,Bryant,Tackett,1956-04-29,828069665
0032700000JxfQhAAJ,<BCARTER.10000.0028@gmail.marketingclouddemo.com>,Beatrice,Carter,1976-03-25,
0032700000NZMSgAAP,<OHAIGHT.10000.0029@yahoo.marketingclouddemo.com>,Onie,Haight,1991-11-28,
00327000007Zb54AAC,<PPINKSTON.10000.0030@gmail.marketingclouddemo.com>,Paula,Pinkston,1957-07-24,
0032700000yTwMkAAK,<LMAPLES.10000.0031@hotmail.marketingclouddemo.com>,Lily,Maples,1963-04-24,352338222
0032700000eeNMMAA2,<EPAYNE.10000.0032@work.marketingclouddemo.com>,Eric,Payne,1998-02-07,
0032700000Jgn0DAAR,<RSTEELE.10000.0033@yahoo.marketingclouddemo.com>,Reagan,Steele,1952-12-03,
0032700000PiL3BAAV,<LWADSWORTH.10000.0034@hotmail.marketingclouddemo.com>,Leigh,Wadsworth,1991-05-24,313864754
0032700000uzGyIAAU,<TONTIVEROS.10000.0035@gmail.marketingclouddemo.com>,Trisha,Ontiveros,1991-07-04,
0032700000nPDgQAAW,<ABARNES.10000.0036@aol.marketingclouddemo.com>,Amparo,Barnes,1963-11-09,
